barcode	name	calories	protein	carbs	fat	source
0024000010227	Birnen Halbe Frucht	60	0.2	14	0.1	nutrition.aggregated_set
0024000010418	Pfirsiche Halbe Frucht LEICHT GEZUCKERT	60	0.6	13	0	nutrition.aggregated_set
0024000010920	Fruchtcocktail	65	0.4	15	0.1	nutrition.aggregated_set
0024000011484	Mandarin-Orangen/ DelMonte	63	0.8	16	0	nutrition.aggregated_set
0024000011859	Ananas in Scheiben	53	0.4	14	0	nutrition.aggregated_set
0024000012313	Ananas in Scheiben	71	0.3	17	0	nutrition.aggregated_set
0024000012559	Ananas Scheiben in Saft	59	0.4	14	0	nutrition.aggregated_set
0024000014430	Mais	69	3.2	11	0.6	nutrition.aggregated_set
0024000015987	Ananas	63	0	15.9	0	nutrition.aggregated_set
0024000017677	Ananas sticks au jus	56	0.3	13.1	0	nutrition.aggregated_set
0024000021414	Fruit Cocktail	19	0.2	4.6	0	nutrition.aggregated_set
0024000024385	Aprikosen halbe Frucht leicht gezuckert	58	0	13	0	nutrition.aggregated_set
0024000024675	Del Monte Cocktail 2yrs prod	61	0.2	14	0	nutrition.aggregated_set
0024000025528	Pfirsiche halbe Frucht	60	0.4	15	0	nutrition.aggregated_set
0024000027584	Brinen Halbe Frucht : Leicht Gezuckert	60	0.2	14	0.1	nutrition.aggregated_set
0024000100812	Ananas, Dessert-Stücke	63	0.4	14	0	nutrition.aggregated_set
0024000110170	Tortenpfirsich in Scheiben	60	0.6	13	0	nutrition.aggregated_set
0024000124023	Fruchtcocktail	50	0.4	12	0	nutrition.aggregated_set
0024000124948	Pfirsiche	53	0.4	12	0	nutrition.aggregated_set
0024000124962	Del Monte Pærer Halve i Juice 415g	35	0.1	8.7	0	nutrition.aggregated_set
0024000143635	Tomatenstücke	19	1.1	3	0.1	nutrition.aggregated_set
0024000148104	Birnen halbe Frucht	67	0.6	16	0	nutrition.aggregated_set
0024000153115	Fein gehackte Tomaten mit Basilikum	21	1.2	3.4	0.1	nutrition.aggregated_set
0024000167075	Fruit Cocktail In Extra Light Syrup	39	0	9.8	0	nutrition.aggregated_set
0024000195375	Quality Exotics Melonenkugeln Leicht Gezuckert	62	0.4	14.5	0.1	nutrition.aggregated_set
0024000196792	Lychees : Leicht Gezuckert	64	0.5	15.1	0.1	nutrition.aggregated_set
0024000197164	Pfirsiche	71	0.4	17	0	nutrition.aggregated_set
0024000346166	Original pizza sauce, original	48	1.6	7.9	0	nutrition.aggregated_set
0024300043208	Nutty buddy cookies with peanut butter	561	7	56.1	33.3	nutrition.aggregated_set
0024463061095	Sriracha Hot Chili Sauce	4	0	1	0	nutrition.aggregated_set
0024463061163	Sriracha-Sauce	83	2	16	0.5	nutrition.aggregated_set
0024463062160	Sriracha HOT Chili Sauce	119	1.3	27.2	0.2	nutrition.aggregated_set
0025293600232	Soy Milk Unsweetened	33	3.3	2.1	1.5	nutrition.aggregated_set
0025317055185	Chicken Nuggets	190	13.1	16.7	8.3	nutrition.aggregated_set
0025317055192	Chicken Nuggets	190	13.1	16.7	8.3	nutrition.aggregated_set
0026969153502	Mini Gemüse Frühlingsrollen	261	12.3	29.3	10	nutrition.aggregated_set
0028190007432	Pop Corn süss mikrowelle	505	5.4	54.9	26.9	nutrition.aggregated_set
0028190007791	Microwave PopCorn Cheese Flavour	546	6.8	42	37	nutrition.aggregated_set
0028190007876	Jolly Time Microwave PopCorn Butter-Geschmack	532	7.3	42	34.8	nutrition.aggregated_set
0028190007944	Microwave Popcorn	500	7.5	49.4	27.6	nutrition.aggregated_set
0028400000246	Fritos Cheese Dip Jalapeno Cheddar	143	0	10	8.3	nutrition.aggregated_set
0028400092500	LAY'S® STAX® Bacon & Cheddar Potato Skins	500	7.1	60.7	28.6	nutrition.aggregated_set
