barcode	name	calories	protein	carbs	fat	source
7613312198889	Kürbis-Ingwer-Kokos	28	0.7	4.4	0.7	nutrition.aggregated_set
80609049	Vollmilchjoghurt - 125g - Aprikose	103	3.4	13	3.7	nutrition.aggregated_set
7613036537926	Flammkuchen Spinat Feta	235	6.6	27.4	10.6	nutrition.aggregated_set
4337185222580	Frische Buttermilch	35	3.5	4	0.5	nutrition.aggregated_set
7610900046645	Chäs Schubert	334	24	0	26	nutrition.aggregated_set
4311501489239	Waffelmischung	549	3.9	57.6	33.1	nutrition.aggregated_set
7610491933584	Ingwer getrocknet, ungezuckert	350	0	85	0	nutrition.aggregated_set
4006040005773	Omega porridge	396	15	49	13	nutrition.aggregated_set
9019100682604	Fasten Erdbeer	28	3.1	3.8	0.5	nutrition.aggregated_set
3596710471683	Roulade nature	275	12	0.5	25	nutrition.aggregated_set
4260133996939	Knoblauchbrot	289	6.7	42	10	nutrition.aggregated_set
4388844014701	Suppengrün	29	1.4	3.9	0.2	nutrition.aggregated_set
4008013076445	Schinken Rohesser	239	23	2.6	15	nutrition.aggregated_set
4016843004507	Cola Mix	45	0	11	0	nutrition.aggregated_set
20007911	Erbseneintopf	148	7.8	25.3	1.9	nutrition.aggregated_set
4010442408667	Mandeln, Natur	619	24	5.7	53	nutrition.aggregated_set
5030563000013	Mrs Darlingtons Legendary Lemon Curd 320G	346	4.1	50.5	14.3	nutrition.aggregated_set
7610057030702	Ice Tea Lemon	30	0.5	8	0.5	nutrition.aggregated_set
4260363486095	Chocolat protéiné	540	26	18	40	nutrition.aggregated_set
4001724001614	Culinaria American Hot Dog Style	267	7.6	27	14	nutrition.aggregated_set
8853969006642	Vollkornreis	358	7.1	74	3.3	nutrition.aggregated_set
4388860227451	Gemüsepfanne	42	1.4	3.5	2.1	nutrition.aggregated_set
3838471019057	Junior Super Tuna	314	0	2.6	28	nutrition.aggregated_set
8011661002045	Grana Padano, gerieben, 10 Monate	398	33	0	29	nutrition.aggregated_set
4021851798072	Tofu mit Röstzwiebel	173	18	3	9.4	nutrition.aggregated_set
4260046691457	Schokopudding	122	3.4	18.8	3.7	nutrition.aggregated_set
4260046691402	Heidelbeerjoghurt	94	2.7	13.3	3.2	nutrition.aggregated_set
8712514092137	Fruitjuice Toffees	295	0.5	83	10	nutrition.aggregated_set
4016623487964	Orginal Thüringer Rostbratwurst	263	14	1	22.6	nutrition.aggregated_set
4006824994446	Mittelscharfer Senf	109	5.9	3.5	6.3	nutrition.aggregated_set
7610029158762	Denner Fleischkäse Fromage D'italie	238	13	1.5	20	nutrition.aggregated_set
80571360	Salame Bastoncini	510	31	0.5	43	nutrition.aggregated_set
4099200163710	Pizza Salami	233	11	25	9.5	nutrition.aggregated_set
5053990151035	Pringles Pizza	518	6.6	56	29	nutrition.aggregated_set
4311501447918	Kaiser Gemüse	25	1.5	2.9	0.2	nutrition.aggregated_set
4260159455410	Cacao peanut chunk	391	11	46	16	nutrition.aggregated_set
4005906005971	Active O2 Iced Peach	16	0	3.8	0	nutrition.aggregated_set
4014223055163	Kartoffelpuffer	155	2	29.5	2.6	nutrition.aggregated_set
9002043023801	Ketchup	106	1.2	23	0	nutrition.aggregated_set
42142409	Alsterwasser Radler alkoholfrei	31	0.5	7.2	0	nutrition.aggregated_set
4013320099018	Fairetta Weiss	569	8.8	51.5	36.4	nutrition.aggregated_set
4316268360364	Erdnüsse im Teigmantel Paprika	558	15	43.9	34.8	nutrition.aggregated_set
4100130913303	Haake Beck Pils	38	0.4	2.2	0	nutrition.aggregated_set
4013143080064	Alasia Mineralwasser Medium	0	0	0	0	nutrition.aggregated_set
4018715518297	Fruchtige Zitres Limo	42	0	10	0	nutrition.aggregated_set
4051009018943	feiner Fleischsalat	363	4.8	4.5	36.1	nutrition.aggregated_set
2009099006731	Snack Ringe Sour Cream & Onion	495	3.8	59	26	nutrition.aggregated_set
4388860558142	Smoothie	54	0.5	12.2	0.5	nutrition.aggregated_set
4099200023526	Olivenöl	824	0	0	92	nutrition.aggregated_set
22420589	Saure Bänder	369	0.4	86	1.7	nutrition.aggregated_set
9009504007165	Gemüseaufstrich	255	1.8	4.7	25	nutrition.aggregated_set
4000832722206	Zaziki	112	4.4	8	6.4	nutrition.aggregated_set
5038862139700	Innocent lait d'amande	37	0	0.3	3.4	nutrition.aggregated_set
4001686215210	Lakritz Parade	337	1.7	82	0.5	nutrition.aggregated_set
2200208015884	Frücjtemüsli	334	7.3	64	4.1	nutrition.aggregated_set
4388810006969	Heidelbeeren	58	0.9	10.6	0.3	nutrition.aggregated_set
4099200016566	Wellen Frites	218	3.7	33	7.2	nutrition.aggregated_set
4260137741344	Bio Reis Cripies Frusano	544	6.7	53.2	33.2	nutrition.aggregated_set
29017171	Premium Knusper Müsli	437	10.8	60.7	14.9	nutrition.aggregated_set
4311501464397	Milch	47	3.4	4.9	1.5	nutrition.aggregated_set
5450168544680	Yaourt molbier	103	4.6	17.5	1.5	nutrition.aggregated_set
08887771	frische fettarme Milch	35	3.3	5	0.2	nutrition.aggregated_set
4056489025177	Joghurt, griechischer Art, Honigzubereitung	142	2.8	16.2	7.3	nutrition.aggregated_set
4099200019109	Mozzarella bambini	167	21	1.5	8.5	nutrition.aggregated_set
4316268584463	Schmelzkäse	276	9.4	7	23.4	nutrition.aggregated_set
4306188368274	Nougat Bits	460	8.7	63	18	nutrition.aggregated_set
4061458013727	Schinkenbraten gepökelt & gegart	112	20	1	3	nutrition.aggregated_set
4311501491249	Heidelbeer Konfitüre Extra	250	0.3	61.5	0.3	nutrition.aggregated_set
4060800111890	Pepsi zero	0	0.1	0.1	0	nutrition.aggregated_set
4004191005765	Ruhe&Kraft	59	0.5	14	0.5	nutrition.aggregated_set
4019339637050	happy Crunch Deep Valley	408	8.6	61	12	nutrition.aggregated_set
4106060050712	Beutelsbacher Apfel Direksaft	50	0.1	11.5	0.1	nutrition.aggregated_set
4000539317002	Lindt Mini Pralinés	530	7.1	53	31	nutrition.aggregated_set
7613036915076	Sensational Burger aus Sojaprotein	176	12.4	3.9	11	nutrition.aggregated_set
20899134	Korntaler Maisbrötchen mit Ölsamen	247	5.4	31	9.1	nutrition.aggregated_set
4061458045780	Wraps - Weizen	302	9	53	5.7	nutrition.aggregated_set
4061458004053	Früchtemus im EW-Pack	53	0.4	10.2	0.5	nutrition.aggregated_set
4061458026727	Krautsalat mit Zwiebeln und Paprika	88	1	12.5	3.3	nutrition.aggregated_set
4260122391387	True Fruits creamie	87	1.4	11	3.9	nutrition.aggregated_set
7613269830146	Oktopus-Salat	114	15	0	6	nutrition.aggregated_set
4014400926026	Finest Selection	563	7.8	49.9	36.1	nutrition.aggregated_set
4008400208220	Kinder Schokolade &quot;Lustige Osterbande&quot; 102G	570	8.5	54.8	35	nutrition.aggregated_set
4311501653852	Fusilli Dinkel Bio	360	11	74	1.5	nutrition.aggregated_set
8711200369355	Kürbiscremesuppe	40	0.6	4.9	2	nutrition.aggregated_set
4021851584200	Griechisches Olivenöl	832	0.5	0.5	92	nutrition.aggregated_set
9002233010970	Lasagne Bolognese	154	6	17	6.5	nutrition.aggregated_set
9003740086564	Cottage Cheese mit Kräutern 10% Fett i. Tr.	80	13	2.9	2.2	nutrition.aggregated_set
20234751	Cervelas Lidl	264	13.2	0.6	23.2	nutrition.aggregated_set
20436933	Joghurt Heidelbeer	97	3.3	14.6	2.8	nutrition.aggregated_set
7613269931980	Tresse au beurre festive	305	10	47	8	nutrition.aggregated_set
7613312236246	Nussmischung	626	21	10	54	nutrition.aggregated_set
4260462980586	Porridge Dreierlei Beere	360	9.7	62	5.3	nutrition.aggregated_set
11151045	Donuts Erdnuss	474	13	57	21	nutrition.aggregated_set
3019081240141	Sardines sans arête	259	22	0	19	nutrition.aggregated_set
4337185361395	Pro Aqua Limetten - Geschmack	14	0	3.4	0	nutrition.aggregated_set
4311596600151	Pausen-Drink Apfel-Kirsche	44	0.1	10.3	0.1	nutrition.aggregated_set
4056489010371	Gouda Holland mittelalt	401	25.3	0	32.8	nutrition.aggregated_set
4009268006904	Kartoffelknödel aus frischen Kartoffeln, ohne Brotwürfel	124	1.5	28.4	0.1	nutrition.aggregated_set
03635353	Hähnchen Filetstreifen	104	22.5	0	1.6	nutrition.aggregated_set
4006272400018	Eier	140	12.7	0.3	9.8	nutrition.aggregated_set
23056619	Ananas	72	0.4	16.5	0.1	nutrition.aggregated_set
4013143010405	Teeträume	18	0.5	4.3	0.5	nutrition.aggregated_set
4311501607244	Tomaten nudeltopf	86	4	6.5	4.9	nutrition.aggregated_set
4316268525350	Mozzarella	245	18	1.5	18.5	nutrition.aggregated_set
4025303131103	Zaubertrunk	45	0.1	10.9	0.1	nutrition.aggregated_set
4316268225410	Gutsherren-Topf mit Fleischklößchen	88	4.4	8.2	3.8	nutrition.aggregated_set
4002676629062	Minuto Nudelpower Spaghetti Bolognese	79	2.5	15.7	0.5	nutrition.aggregated_set
4061458014120	Salami	304	19	0.5	25	nutrition.aggregated_set
4061458044103	Obatzter	337	13	3	30	nutrition.aggregated_set
4061458027113	Zaziki	173	4.4	5.2	15	nutrition.aggregated_set
4061458087025	Bratwurst	300	13	1	27	nutrition.aggregated_set
4061458073011	Eier frisch aus Freilandhaltung / Œufs frais	153	13	0.6	11	nutrition.aggregated_set
4388840217168	Frikadellen-Bällchen  (küchenfertig)	292	13.5	10.8	21.5	nutrition.aggregated_set
4280001516267	Fruchtpapier Apfel-Mango	394	3.1	84	0.5	nutrition.aggregated_set
4337185185908	Cool Flakies	384	6.5	86	0.9	nutrition.aggregated_set
4280001516250	Frucht papier	319	3.6	63	0.9	nutrition.aggregated_set
8410525244247	Saure würmer	334	4.5	79	0	nutrition.aggregated_set
7613312181836	Kaugummi Mint mit Aktivkohle	169	0.5	68	0.5	nutrition.aggregated_set
4006402063199	Bergbauern Käse	267	29	0	16.8	nutrition.aggregated_set
7613404122440	Crème brûlée	196	5	17	12	nutrition.aggregated_set
7613404160558	Schinkenwürfeli	119	20	0.7	4	nutrition.aggregated_set
4015637827094	Wunder Brød mit Nüssen, glutenfrei	487	19	26	31	nutrition.aggregated_set
7613404046661	Crispy Tofu	238	13	12	15	nutrition.aggregated_set
4061458018043	Dinkel-Spaghetti	360	13	70	1.5	nutrition.aggregated_set
4058172218026	Sauerkrautsaft	12	0.8	1.5	0.5	nutrition.aggregated_set
4337182038160	Fusilli	357	12.5	72	1.5	nutrition.aggregated_set
9100000787145	Edelkastanien Essfertig	187	5.1	36	0.9	nutrition.aggregated_set
7610491013453	Weizenkeime	386	29	34	10	nutrition.aggregated_set
4388840214266	Geflügel Mortadella	204	12	0.6	17	nutrition.aggregated_set
4306188387602	White Chocolate and Cranberry COOKIES	492	5.1	65	23	nutrition.aggregated_set
4013200888084	Bio mie nudeln	362	13	70	3	nutrition.aggregated_set
5053827188517	Eine Auswahl einzeln verpackter Cerealien aus Mais, Reis und Weizen	380	6.9	83	1.4	nutrition.aggregated_set
7611400086957	Bouillon de légumes	135	16.2	5.5	5	nutrition.aggregated_set
4011800203023	Schwarze Johannisbeere Gourmet-Frühstück	202	0.7	46.5	0.1	nutrition.aggregated_set
7613379483232	Milchschokolade	589	7	48	41	nutrition.aggregated_set
4009418198176	Pesto alla Genovese	414	3.8	6	41	nutrition.aggregated_set
4004042010504	Pur	0	0	0	0	nutrition.aggregated_set
4006040105398	Jasmin Spitzenreis Langkorn aus Thailand weiß	348	7.4	78	0.6	nutrition.aggregated_set
7613404017104	Petits pains précuits	288	10	47	6	nutrition.aggregated_set
7613404016848	Vital-Brötchen	258	12	41	4	nutrition.aggregated_set
7613404016824	Croissants précuit au beurre	352	10	45	14	nutrition.aggregated_set
4002221007130	Rooibos Tee pur	1	0	0.2	0	nutrition.aggregated_set
4104420214118	Kokosblütenzucker	383	1.4	94	0.5	nutrition.aggregated_set
8852646254543	Pickled garlic	65	0	14	0	nutrition.aggregated_set
4388844142435	Sardinen	204	24	0	12	nutrition.aggregated_set
4388860000160	Dijon Senf	165	7.8	3.5	12	nutrition.aggregated_set
4388844083332	REWE Beste Wahl Antipasti Grüne Oliven ohne Stein	182	1.6	2.2	18.5	nutrition.aggregated_set
4026701001272	Schw.Kirsche Konfit./Mühlh.	216	0.4	53	0.1	nutrition.aggregated_set
4388844032569	Burlander	259	28	0.1	16	nutrition.aggregated_set
5901696000020	паштет паприка	211	8.5	5.6	17	nutrition.aggregated_set
5901204000733	Pasztet drobiowy	160	7.5	5.5	12	nutrition.aggregated_set
4388844004689	Rewe Delikatess Metzgerschinken Spitzenqualität, he...	126	19	1	5	nutrition.aggregated_set
4008534040253	Frischer joghurt	55	4.3	5.3	1.5	nutrition.aggregated_set
5941021000639	Milk & hazelnut	550	7.5	56.4	35	nutrition.aggregated_set
4046800110064	Pizza-Teig	305	5.7	46	11	nutrition.aggregated_set
4013109012269	_Pizzateig von Kathi	289	8	52	5	nutrition.aggregated_set
4099200019062	Mozzarella	249	18	1.5	19	nutrition.aggregated_set
4015637821146	Dinkel Streuselkuchen	357	9.3	76	1	nutrition.aggregated_set
4015350108814	apfel-Rote-Bete	21	0.3	4.8	0.1	nutrition.aggregated_set
4250632907833	Kulturheidelbeeren	58	0.9	10.6	0.3	nutrition.aggregated_set
4051009020342	Grüne Soße	153	4	7.9	11.5	nutrition.aggregated_set
4006639098407	Comté-Salami	373	22.9	0.5	31	nutrition.aggregated_set
28433880	Graved Lachs mit Senf-Dill-Sauce	210	14.7	13	11	nutrition.aggregated_set
4334011191607	Müsli Quinoa Orange Passionsfrucht	416	8.9	67	11	nutrition.aggregated_set
4337185455728	Oliven geschwärzt, entsteint	125	0.5	0	13	nutrition.aggregated_set
8853662056883	Sweet Chili Sauce	229	0.5	55	0.5	nutrition.aggregated_set
7613312141120	All in one	2	0	0.5	0	nutrition.aggregated_set
7610029162660	Pastetenfüllung mit  Champignon	181	6	3	16	nutrition.aggregated_set
4316268590167	Schweizer Edel-Zartbitter Scokolade Orange	574	6.8	35.9	42.5	nutrition.aggregated_set
8436562208264	Die Schwarze Ziege	439	22	0.1	39	nutrition.aggregated_set
4013200881610	Chilisauce süß-scharf	218	0.5	53	0.4	nutrition.aggregated_set
7610200390318	Freiburger Bauernwurst	395	21	1	34	nutrition.aggregated_set
5060194791820	Miso Paste Japanse	191	12	22	5.4	nutrition.aggregated_set
8717677860777	Babymais ganz	85	3	13	1.6	nutrition.aggregated_set
4030068003909	Putensalami pur	288	27.2	8.6	19.5	nutrition.aggregated_set
4061458066655	Baked Beans in Tomaten-Sauce	87	3.7	15	0.5	nutrition.aggregated_set
9003740066863	Frische Vollmilch	64	3.3	4.7	3.5	nutrition.aggregated_set
0052600751219	Marshmallow Fluff	330	1	81	0	nutrition.aggregated_set
4007552307522	Tortilla Seasoning Mix	303	4.8	61.4	3	nutrition.aggregated_set
4005394123003	Dinkel Sauerteig Extrakt	365	15	57	3	nutrition.aggregated_set
4316734081144	Misopaste dunkel	184	12	19	5.3	nutrition.aggregated_set
4306188336518	Aprikosen-Konfitüre	227	0.5	55	0.5	nutrition.aggregated_set
4032549020276	Kwas	35	0	7.8	0	nutrition.aggregated_set
4058172191930	Bratöl	818	0	0	91	nutrition.aggregated_set
29010820	Fein % Fruchtig Erdbeere	199	0.5	48	0.5	nutrition.aggregated_set
8718692615694	Pink grapefruit zero	1	0	0.2	0	nutrition.aggregated_set
4061458075688	Handgelegter Kochschinken Wacholder	153	19	1	8	nutrition.aggregated_set
4000539600203	Lindt goldhase	545	7.4	56	32	nutrition.aggregated_set
4006182006034	Bio Dinkel Zwieback	392	12	69	6.4	nutrition.aggregated_set
20238971	Instantgetränk	387	0.7	94	0	nutrition.aggregated_set
4029679996915	Protein Plus	308	32	32	8.3	nutrition.aggregated_set
4061458028820	Joghurt mild 3,5 % Fett	70	4.3	4.8	3.5	nutrition.aggregated_set
4260054650750	Honig-Senf-Salatsauce	323	0.6	10	31	nutrition.aggregated_set
4018077700101	Crunchips Paprika	528	5.4	48	34	nutrition.aggregated_set
3664346307741	Suchard express	380	4	81	3	nutrition.aggregated_set
42227083	Joghurt fein gesüßt mit Knusperflocken	151	4.2	19	6	nutrition.aggregated_set
4316268510820	Schlagsahne (30%)	293	2.5	3.2	30	nutrition.aggregated_set
42305330	Fructiv Grapefruit Dragonfruit	33	0.3	7.5	0.1	nutrition.aggregated_set
20044756	2,99€ 8 Zucker-Blätterkrokant-Eier	497	5	62	25	nutrition.aggregated_set
5998003106223	Paprika Salami	463	23	0	41	nutrition.aggregated_set
4104420135062	Weidemilch Quark Magerstufe	68	12	4	0.2	nutrition.aggregated_set
4032549019683	Käsezopf	249	28	2.8	14	nutrition.aggregated_set
4061458047753	Nutoka noisette nougat crème	559	6	51.9	35.6	nutrition.aggregated_set
4014741003813	Rotkäppchensekt	76	0	0	0	nutrition.aggregated_set
20139285	Herzhafter Fleischsalat	290	6.8	5.9	26.6	nutrition.aggregated_set
4004154016296	Naturtrüber Apfelsaft	43	0.1	11	0.1	nutrition.aggregated_set
9000331627526	Manner Zarties salty caramel 9000331627526 Knusprige Waffeln mit Karamellfüllung	477	6	63	22	nutrition.aggregated_set
9008700149143	Happy Day Multivitamin mild	49	0.5	11	0.5	nutrition.aggregated_set
7613356351349	Kräuter Tofu	97	13	1.2	4.5	nutrition.aggregated_set
4020700002018	Apfel naturtrüb Saft	46	0.1	11	0.1	nutrition.aggregated_set
4104420210936	Kokos Zartbitter Schokolade	590	6.4	38	44	nutrition.aggregated_set
4058172124495	Schokohase Feine Bitter	592	4.9	41	44	nutrition.aggregated_set
4008074100110	Bayrische Johannisbeere	58	0.4	13	0.1	nutrition.aggregated_set
42230397	Flirt Orange Zero - Orangenlimonade	2	0	0	0	nutrition.aggregated_set
28264835	Frühstücksvariationen	309	7.8	41.4	11.6	nutrition.aggregated_set
4006375000498	Blutorange	239	0.4	59.4	0.1	nutrition.aggregated_set
4311501618080	Gouda mild/würzig	365	22.8	0	30.4	nutrition.aggregated_set
4300175284806	Langkorn Wildreis	356	8.1	78	1	nutrition.aggregated_set
4013320333945	Cache Bruch	590	20.6	30.5	42.2	nutrition.aggregated_set
4388860190212	Speisequark	96	10.5	3.7	4.3	nutrition.aggregated_set
4388860190465	Speisequark Magerstufe	67	12.2	3.9	0.3	nutrition.aggregated_set
4023600200393	Schokopudding Vanillegeschmack	108	3.3	15	3.8	nutrition.aggregated_set
4000521003357	Tortenguss fix	62	0	15	0	nutrition.aggregated_set
8710438087413	Western Frites	166	3	25	5.5	nutrition.aggregated_set
20830458	Münchner Weißwurst	273	11	1	25	nutrition.aggregated_set
4009300001164	Hagebuttentee mit Hibiskus	2	0.2	0.3	0.1	nutrition.aggregated_set
4035600919472	Knabber Esspapier	363	9	78	1.1	nutrition.aggregated_set
4001956401640	Trüffel-Leber-Pastete	291	12.7	5.5	24	nutrition.aggregated_set
4337185502187	Schwarzwälder Schinken g.g.A. l	243	26	1	15	nutrition.aggregated_set
7613036612227	Thai Curry	332	9.3	57.4	5.2	nutrition.aggregated_set
14207686	triangoli mit Pilzen und Trüffelöl verfeinert	294	9.5	31	14	nutrition.aggregated_set
4000405001349	Veganes Mühlen Steak Typ Rind	120	15	3.6	4	nutrition.aggregated_set
7622210835536	Milka Daim	532	5.9	59	29	nutrition.aggregated_set
4311596495559	Black Cat	43	0	10.2	0	nutrition.aggregated_set
4260422210098	Green Cola	1	0	0.1	0	nutrition.aggregated_set
4061458055758	Landbrot Weizenmischbrot	247	8	48	1.9	nutrition.aggregated_set
5391520170560	Squbes Karamell, Mandel & Meersalz	539	16	29.4	37.3	nutrition.aggregated_set
7610227895926	Gnocchi All' Italiana	144	3.1	30	1	nutrition.aggregated_set
4000512403302	Troll world	338	6.2	77	0.1	nutrition.aggregated_set
29001170	Mango Maracuja Nektar	52	0.2	12	0.2	nutrition.aggregated_set
8002270106545	Sanpellegrino Pompelmo	39	0.1	9.4	0	nutrition.aggregated_set
5760466118804	Pikante Kräuter Balance	189	7.7	4.1	16	nutrition.aggregated_set
4018905545010	Fettarme H-Milch 1,5% Fett	47	3.4	5	1.5	nutrition.aggregated_set
4304218503350	Mineralwasser, Naturell, Pet	0	0	0	0	nutrition.aggregated_set
4010976381214	Cola Mix	39	0	9.7	0	nutrition.aggregated_set
09819283	Mozarella Light	165	20.5	1.5	8.5	nutrition.aggregated_set
4333465097190	Schlagsahne	337	2.5	3	35	nutrition.aggregated_set
5449000260697	Fanta Mango ohne Zucker	2	0	0.4	0	nutrition.aggregated_set
4100290092610	Smørbar ungesalzen	680	0.6	0.7	75	nutrition.aggregated_set
4104420213128	Indisches Curry	76	1.2	8	4	nutrition.aggregated_set
4061458029766	Sonnenblumen-Margarine	720	0	0.1	79.9	nutrition.aggregated_set
4337185348051	Puten-Wiener Käse-Paprika	239	15.4	1	19	nutrition.aggregated_set
8410171005438	Saft pur! Orange	40	0.6	8.9	0.1	nutrition.aggregated_set
4004980507203	Cacahuètes grillées et salées	619	24	11	51	nutrition.aggregated_set
0028989101082	Chicken Nuggs	221	14	20.9	10.5	nutrition.aggregated_set
0028989971951	Veggie breakfast bacon frozen strips	214	12.5	12.5	25	nutrition.aggregated_set
4099200407883	Speckwürfel	307	20	1	25	nutrition.aggregated_set
4311501660300	Schwarze Bohnen	114	7	16	0.9	nutrition.aggregated_set
4004191501434	Immunsystem	52	0.5	13	0.5	nutrition.aggregated_set
8711327325197	Cremissimo Solero	154	2.5	24	5	nutrition.aggregated_set
8001171000013	Grano cotto	99	3.4	19.9	0.6	nutrition.aggregated_set
2406020004017	Grillsteaks	201	28.5	0.3	9.6	nutrition.aggregated_set
4002861654015	Tress Schwäbische Spätzle	373	15.3	68.6	3.3	nutrition.aggregated_set
20227128	milbona	100	3.5	14.7	3	nutrition.aggregated_set
2001609657020	Brötchen	253	7.7	52.2	1	nutrition.aggregated_set
4018905300824	Blüten Honig	307	0.5	75	0.1	nutrition.aggregated_set
22020390	Stern-Brötchen Klassic	114	2	12.5	6	nutrition.aggregated_set
4002674245516	Steak Gewürzsalz	95	3.3	15	1.4	nutrition.aggregated_set
4005009100672	Dijon Senf Original Französisch	173	6.3	7.4	11	nutrition.aggregated_set
4099200403625	Milch Drink 1.5% Milchfett	46	3.2	4.9	1.5	nutrition.aggregated_set
4012263026457	Ciabatta Classic	300	9.5	58	3.3	nutrition.aggregated_set
4002566002548	Feta In Salzlake Hirtenkäse	248	13	0.6	21.5	nutrition.aggregated_set
4337185301452	Funny honey	390	8.5	80	2.8	nutrition.aggregated_set
7613312094204	Dörrbohnen	276	20	26	2	nutrition.aggregated_set
7613379714039	Kapernäpfel	18	1.5	2.5	0	nutrition.aggregated_set
4388860185492	Mandel Creme	591	14	33	43	nutrition.aggregated_set
4335896143941	Frischkäse mit Joghurt	169	7	3.5	14	nutrition.aggregated_set
9070000001032	Latella Mango	43	0.5	8.7	0.5	nutrition.aggregated_set
29067459	Antipasti Mixteller	225	5	8	19	nutrition.aggregated_set
4061458015219	Herzhafte Edelsalami geräuchert	379	22	0.5	32	nutrition.aggregated_set
4061458014359	Bierwurst	272	13	1	24	nutrition.aggregated_set
7613312059258	Nugat-Eier	497	7	64	23	nutrition.aggregated_set
5900512320625	Mleko UHT	60	3	4.8	3.2	nutrition.aggregated_set
8004387019244	Südtiroler Speck g.g.A.	297	31	0.5	19	nutrition.aggregated_set
4316268527095	Weiß Schimmel mit Rotrinde - Würziger Weichkäse, Doppelrahmstufe	411	4.5	0.2	39	nutrition.aggregated_set
4388860243734	Doppelkeks	469	5.8	67	19	nutrition.aggregated_set
4316268571623	Edamer Mild würzig	312	25	0.1	23	nutrition.aggregated_set
4337185457418	Thunfisch Brotaufstrich	275	11	9.6	21	nutrition.aggregated_set
5901135025812	Musztarda Delikatesowa	114	4.5	9.7	5.5	nutrition.aggregated_set
42370093	Frischkäsezubereitung mit Meerrettich	241	5.5	3.5	22.5	nutrition.aggregated_set
4316268534130	Käse Tortelloni	236	9.5	32.5	7	nutrition.aggregated_set
4316268516884	Griechischer Feta	293	18.7	0.6	24	nutrition.aggregated_set
29061013	Kartoffeln festkochend Sorte: Belana	81	1.8	16.7	0.3	nutrition.aggregated_set
4316268566100	Joghurt mild	64	3.7	4.4	3.5	nutrition.aggregated_set
4061458060950	Kartoffelchips mit Paprika-Geschmack	542	6	51	34	nutrition.aggregated_set
5000112599664	Coca-Cola Classic	42	0	10.7	0	nutrition.aggregated_set
4005517016014	Amecke Calcium + Magnesium	46	0.5	10.1	0.1	nutrition.aggregated_set
4388840219940	Butterkäse	134	9.6	0.1	10.4	nutrition.aggregated_set
4015753303014	Lachspesto mit Pasta	399	16.8	57	10.9	nutrition.aggregated_set
4001518112670	Prinzen Rolle Choco Duo	472	6	65	20	nutrition.aggregated_set
8053908201064	Terre Dell' Abbazia - Olio extravergine di Oliva	824	0	0	92	nutrition.aggregated_set
20523374	Lapin en chocolat	552	7	54	34	nutrition.aggregated_set
4006748001756	Paprika Mais-Chips	480	6.7	63	22	nutrition.aggregated_set
4337185458927	Parmigiano Reggiano	402	32	0	30	nutrition.aggregated_set
5900130030968	Nuii Almond&Java Vanilla	370	5.3	34	23	nutrition.aggregated_set
4104420213517	Tomatensauce Kräuter	50	1.6	5.7	2.1	nutrition.aggregated_set
4000539608483	Goldhase Edelbitter	561	7.9	39	39	nutrition.aggregated_set
8711812419578	Bean Sticks	500	8	53	27	nutrition.aggregated_set
4304218502339	Natürliches Mineralwasser mit Kohlensäure	0	0	0	0	nutrition.aggregated_set
4048517634314	Hohes C Plus Pro Vitamin A	42	0.5	9.6	0.5	nutrition.aggregated_set
7640176960062	Bio Açai Bowl	88	1.4	10	4.4	nutrition.aggregated_set
5350122999986	Twistees reduced fat & salt	425	6.3	59	18	nutrition.aggregated_set
7622210989338	Milka Schmunzelhase Knusper	529	6.2	59	29	nutrition.aggregated_set
4260583930064	Keksteig zum Löffeln	405	4.1	60.7	15.5	nutrition.aggregated_set
4260344212293	Energydrink Currywurst style	48	0.4	11.1	0	nutrition.aggregated_set
4046700500583	Frische Weidemilch 3,8%	69	3.4	4.8	3.9	nutrition.aggregated_set
4000539675805	Blätterkrokant	516	7.5	66	24	nutrition.aggregated_set
7611471004362	MILUPA Le Petit Dessert Rote Früchte Nach 6 Monaten 330g (6x55g)	86	2.7	11	3.1	nutrition.aggregated_set
4000539102288	Lindt Lindor	617	4.6	43	47	nutrition.aggregated_set
0014113913614	Roasted Salted XXL Pistachios	590	21	18	46	nutrition.aggregated_set
4006894518207	12 Köstlichkeiten Premium	523	7.1	56.1	29.1	nutrition.aggregated_set
4001518102527	Erfrischungsstäbchen Orange-Zitrone-Mix	396	2	73	9.9	nutrition.aggregated_set
8001250120205	Zitone tagliato n°20	351	14	69	1.5	nutrition.aggregated_set
8008857400587	Casareccia	364	12.5	73	1.3	nutrition.aggregated_set
8000139004667	Pennoni Lisci	357	14	73	1	nutrition.aggregated_set
8000139004384	Pasta  occhi di lupo	353	14.1	72.9	1.2	nutrition.aggregated_set
8716618206100	Lakritzpastllen	365	0.2	90.9	0	nutrition.aggregated_set
4335896488943	Exquisit Dunkle Kakao-Creme	564	6.4	41	40	nutrition.aggregated_set
8076810792024	Calamarata n 142 trafilata al bronzo	359	14	69.7	2	nutrition.aggregated_set
4001686820025	Happy Easter	349	5.3	81	0.5	nutrition.aggregated_set
5900085010091	Suppe Barszcz	22	1.1	3.8	0.2	nutrition.aggregated_set
8004690052112	La molisana Pennoni Lisci N°33	351	14	70	1	nutrition.aggregated_set
8005121002584	Divella Gnocchetti Sardi 58	355	13	72	1.7	nutrition.aggregated_set
8076810792000	Ziti doppia rigatura	359	14	70	2	nutrition.aggregated_set
7610029147476	Sticks de poisson	181	12	15	7.9	nutrition.aggregated_set
